0/1000: ????.??#.?????#? 1,1,1,1,6 -> 6 | 80 | 189629
1/1000: ??.####?.??#?#?.?.?? 4,6 -> 1 | 1 | 1
2/1000: ????????#?..? 2,7,1 -> 1 | 1 | 1
3/1000: ??.##???????? 2,3,4 -> 3 | 18 | 3888
4/1000: .####??#???#.????.? 11,4,1 -> 1 | 2 | 16
5/1000: ???..????.????#?? 1,1,1,1,5 -> 22 | 1171 | 176587329
6/1000: #???.#??#??#????# 4,1,5,1,1 -> 3 | 9 | 243
7/1000: ?...???##?????#?? 1,12 -> 2 | 6 | 162
8/1000: ?.???.????????? 1,1,1,2,1 -> 121 | 40326 | 1492741037001
9/1000: ???.?#.#??#???.???? 3,1,1,3,1,1 -> 10 | 180 | 1049760
10/1000: ???.??????.???# 1,5,1,1 -> 12 | 168 | 460992
11/1000: ??#?.#??.?? 2,1,1 -> 6 | 62 | 68408
12/1000: ?#?.??#?###?.?.?#.# 1,3,4,1,2,1 -> 1 | 1 | 1
13/1000: ???????#??????#?. 9,6 -> 1 | 3 | 81
14/1000: ?#???#???#?? 2,2,3 -> 10 | 100 | 100000
15/1000: ????.???????? 3,2,4 -> 6 | 60 | 60000
16/1000: ..????#?.?? 1,4,1 -> 2 | 10 | 1250
17/1000: .???????#? 1,4 -> 7 | 92 | 208860
18/1000: ??#???????#?. 1,1,1,5 -> 3 | 18 | 3888
19/1000: ?.??#?????????#? 1,13 -> 2 | 6 | 162
20/1000: ????.?#???.. 1,1,1,1 -> 6 | 100 | 462962
21/1000: #.?#?##???#??.???? 1,9,4 -> 2 | 4 | 32
22/1000: .???#???.??##? 3,3 -> 6 | 36 | 7776
23/1000: ???###?##??..?.? 9,1 -> 7 | 67 | 58749
24/1000: #?.?#?????????##???? 1,13 -> 2 | 4 | 32
25/1000: ???#.?????#???.??.? 4,1,7,1,1 -> 2 | 4 | 32
26/1000: ??????#??.??.? 2,1,1 -> 26 | 1758 | 543444801
27/1000: .????#?????? 7,2 -> 3 | 18 | 3888
28/1000: ??????#..???? 1,2,1,1 -> 24 | 1396 | 274731177
29/1000: ?.??#.#.#?##? 1,1,1,4 -> 2 | 7 | 300
30/1000: .??.#??##??#.#???? 1,1,6,1,1 -> 6 | 78 | 171366
31/1000: ??#??#???????#??. 8,2 -> 6 | 48 | 24576
32/1000: ??.?#?#??#??? 1,5,1,2 -> 2 | 6 | 162
33/1000: ????????#?..#???? 10,3 -> 1 | 2 | 16
34/1000: ##??#?????????#? 2,12 -> 2 | 4 | 32
35/1000: ?????##????##?? 1,5,1,2 -> 4 | 40 | 40000
36/1000: ?????????????? 1,7 -> 21 | 1001 | 108412266
37/1000: .??#?#?.??#?#.? 6,3,1 -> 2 | 6 | 162
38/1000: ?.?#???#????#???. 4,4,1,1 -> 2 | 8 | 512
39/1000: ????.#????#??????.? 1,1,12 -> 3 | 30 | 30000
40/1000: ?#???#?#?#.# 1,1,5,1 -> 1 | 1 | 1
41/1000: ?.??????????????? 1,9 -> 22 | 996 | 92420712
42/1000: ?#????.???#?##?# 2,1,1,1,6 -> 2 | 4 | 32
43/1000: .##????.?? 2,1,1 -> 7 | 77 | 102487
44/1000: ##?????#?.?# 2,1,2,1 -> 5 | 25 | 3125
45/1000: ?##.#?.#???#?#? 2,2,3,1,2 -> 1 | 1 | 1
46/1000: ###??#?###??? 10,1 -> 2 | 4 | 32
