9,3,263~9,5,263
8,6,291~8,9,291
5,9,169~8,9,169
0,5,138~0,7,138
0,3,80~0,6,80
2,1,147~4,1,147
8,5,212~8,5,214
2,0,298~4,0,298
9,7,64~9,9,64
4,0,207~7,0,207
5,7,211~5,8,211
5,0,227~7,0,227
7,6,152~7,9,152
5,4,320~8,4,320
0,0,135~1,0,135
0,0,235~0,1,235
0,7,223~1,7,223
7,5,213~7,6,213
2,0,153~2,2,153
5,7,29~5,9,29
0,5,313~0,8,313
3,4,317~5,4,317
4,6,21~6,6,21
4,0,210~7,0,210
5,1,77~8,1,77
8,4,138~8,8,138
6,6,111~6,8,111
3,2,306~3,5,306
6,6,143~6,8,143
5,8,182~7,8,182
4,1,267~6,1,267
2,3,43~2,5,43
0,2,84~0,2,86
6,3,253~7,3,253
5,5,308~6,5,308
5,2,237~7,2,237
0,3,52~0,4,52
2,5,45~2,7,45
0,2,229~0,4,229
5,2,83~7,2,83
8,5,180~8,7,180
0,9,84~0,9,86
6,2,345~6,5,345
8,1,199~8,3,199
9,0,171~9,2,171
6,1,11~9,1,11
1,0,270~2,0,270
4,5,154~4,7,154
7,3,106~7,6,106
5,1,312~5,3,312
